,Question,Answer,Label
3,how are glacier caves formed?,A glacier cave is a cave formed within the ice of a glacier .,1
75,how much is 1 tablespoon of water,This tablespoon has a capacity of about 15 mL.,1
83,how much is 1 tablespoon of water,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.,1
84,how much is 1 tablespoon of water,In Australia one tablespoon (measurement unit) is 20 mL.,1
98,how much are the harry potter movies worth,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.",1
103,how a rocket engine works,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .",1
128,how are cholera and typhus transmitted and prevented,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.",1
193,how did anne frank die,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.",1
214,how are aircraft radial engines built,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.,1
224,how deep can be drill for deep underwater,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.,1
252,how old was monica lewinsky during the affair,"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996.",1
255,how long was frank sinatra famous,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.",1
343,how much is jk rowling worth,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.",1
349,how big is auburndale florida,"According to the U.S Census estimates of 2005, the city had a population of 12,381.",1
374,"how old is kirk douglas, the actor?","Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.",1
379,how old is the singer bob seger,"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .",1
390,how long was richard nixon a president,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.",1
579,how old were the twin towers when destroyed,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.",1
611,how are the # of electrons in each shell determined,"Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.",1
